cla;ord;fam;gen;sp.;totvis;ce01;ce02;ce03;ce04;ce05;ce06;ce07;ce08;ce09;ce010;ce011;ce012;ce013;ce014;ce015;ce016;ce017;ce018;ce019;ce020;ce021;ce022;ce023;ce024;ce025;ce026;ce027;ce028
Aves;Passeriformes;Thraupidae;Tangara ;cyanocephala;7;3;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aves;Passeriformes;Thraupidae;Thraupis ;ornata;127;1;21;14;4;11;9;6;2;4;0;0;0;4;1;6;6;0;9;1;0;6;7;4;2;7;0;0;2
Aves;Passeriformes;Coerebidae;Coereba;flaveola;26;2;0;1;0;1;0;0;0;0;0;0;2;3;0;0;4;1;6;0;0;1;0;0;0;2;0;0;3
Aves;Passeriformes;Thraupidae;Thraupis ;palmarum;29;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0
Aves;Passeriformes;Thraupidae;Tachyphonus;coronatus;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Aves;Passeriformes;Thraupidae;Thraupis ;cyanoptera;13;0;6;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0
Aves;Passeriformes;Icteridae;Cacicus;chrysopterus;7;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aves;Passeriformes;Fringillidae;Euphonia ;violacea;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aves;Passeriformes;Fringillidae;Euphonia ;chalybea;8;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;2;0;0;0;0
Aves;Trogoniformes;Trogonidae;Trogon ;viridis;4;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aves;Passeriformes;Thraupidae;Chlorophanes;spiza;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aves;Psittaciformes;Psittacidae;Pyrrhura;frontalis;34;0;1;1;0;0;0;0;0;0;0;18;0;5;0;1;1;3;4;0;0;0;0;0;0;0;0;0;0
Aves;Passeriformes;Thraupidae;Cissopis ;leverianus;15;0;0;1;0;1;4;0;0;3;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;3
Aves;Piciformes;Picidae;Melanerpes;flavifrons;26;0;0;0;6;4;13;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Aves;Psittaciformes;Psittacidae;Forpus ;xanthopterygius;19;0;0;0;6;0;10;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0
Aves;Passeriformes;Turdidae;Turdus;rufiventris;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Aves;Passeriformes;Vireonidae;Cyclarhis;gujanensis;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aves;Psittaciformes;Psittacidae;Brotogeris;tirica;32;0;0;0;0;0;4;0;0;0;0;0;0;3;0;2;0;0;4;0;0;0;16;2;1;0;0;0;0
