area;ind;behavior;sp;fortnight
SABMAR;M956;FEEDING;ory_cun;1
SABMAR;M956;FEEDING;ory_cun;1
SABMAR;M956;FEEDING;ory_cun;1
SABMAR;M986;FEEDING;ory_cun;1
SABMAR;M986;FEEDING;ory_cun;1
SABMAR;M986;FEEDING;ory_cun;1
SABMAR;M956;FEEDING;ory_cun;1
SABOJI;O580;FEEDING;ory_cun;1
SABMAR;M956;FEEDING;ory_cun;1
SABMAR;M986;FEEDING;ory_cun;1
SABMAR;M986;FEEDING;ory_cun;1
SABMAR;M986;FEEDING;ory_cun;1
SABMAR;M956;FEEDING;ory_cun;1
SABMAR;M956;FEEDING;ory_cun;1
SABMAR;M956;FEEDING;ory_cun;1
SABMAR;M956;FEEDING;cer_ela;1
SABMAR;M986;FEEDING;ory_cun;1
SABMAR;M986;FEEDING;ory_cun;1
SABMAR;M956;FEEDING;ory_cun;1
SABOJI;O304;FEEDING;ory_cun;1
SABMAR;M986;FEEDING;ory_cun;1
SABOJI;O304;NO FEEDING;tur_phi;1
SABMAR;M986;FEEDING;ory_cun;1
SABCOL;C056;FEEDING;vul_vul;1
SABMAR;M986;FEEDING;ory_cun;1
SABMAR;M986;FEEDING;ory_cun;1
SABMAR;M986;FEEDING;ory_cun;1
SABMAR;M986;NO FEEDING;eri_rub;2
SABCOL;C056;FEEDING;vul_vul;2
SABMAR;M956;FEEDING;ory_cun;2
SABMAR;M956;FEEDING;ory_cun;2
SABMAR;M956;FEEDING;ory_cun;2
SABMAR;M956;FEEDING;ory_cun;2
SABMAR;M956;FEEDING;cya_cya;2
SABMAR;M956;FEEDING;ory_cun;2
SABMAR;M956;FEEDING;ory_cun;2
SABMAR;M956;FEEDING;ory_cun;2
SABMAR;M956;FEEDING;ory_cun;2
SABCOL;C056;FEEDING;gen_gen;3
SABOJI;O580;NO FEEDING;tur_phi;3
SABMAR;M956;FEEDING;ory_cun;3
SABCOL;C168;NO FEEDING;vul_vul;3
SABOJI;O580;NO FEEDING;tur_phi;3
SABOJI;O580;NO FEEDING;tur_phi;3
SABMAR;M956;FEEDING;ory_cun;3
SABCOL;C056;FEEDING;cer_ela;3
SABCOL;C168;NO FEEDING;tur_phi;3
SABCOL;C168;FEEDING;tur_phi;3
SABCOL;C168;NO FEEDING;her_icn;3
SABCOL;C168;FEEDING;cer_ela;3
SABOJI;O580;NO FEEDING;eri_rub;3
SABMAR;M956;NO FEEDING;her_icn;3
SABMAR;M956;NO FEEDING;her_icn;3
SABMAR;M956;NO FEEDING;her_icn;3
SABMAR;M956;FEEDING;ory_cun;3
SABMAR;M956;FEEDING;ory_cun;3
SABMAR;M956;FEEDING;ory_cun;3
SABCOL;C168;FEEDING;cer_ela;3
SABOJI;O580;NO FEEDING;tur_phi;3
SABMAR;M956;FEEDING;ory_cun;3
SABMAR;M956;FEEDING;ory_cun;3
SABMAR;M956;FEEDING;ory_cun;3
SABMAR;M956;FEEDING;ory_cun;3
SABMAR;M956;FEEDING;ory_cun;3
SABMAR;M956;FEEDING;ory_cun;3
