"","no","plant_id","disperser","priority"
"1",13,"314","Cyanopica cooki",1
"2",14,"315","Erithacus rubecula",1
"3",15,"327","Chloris chloris",1
"4",16,"314","Columba palumbus",1
"5",17,"314","Alectoris rufa",1
"6",27,"332","Turdus merula",1
"7",28,"333","Fringilla coelebs",1
"8",29,"314","Columba palumbus",1
"9",30,"314","Columba palumbus",1
"10",31,"301","Erithacus rubecula",1
"11",32,"301","Erithacus rubecula",1
"12",33,"302","Erithacus rubecula",1
"13",34,"315","Erithacus rubecula",1
"14",35,"315","Erithacus rubecula",1
"15",36,"315","Erithacus rubecula",1
"16",37,"315","Erithacus rubecula",1
"17",38,"315","Erithacus rubecula",1
"18",39,"315","Erithacus rubecula",1
"19",40,"315","Chloris chloris",1
"20",41,"315","Erithacus rubecula",1
"21",42,"315","Erithacus rubecula",1
"22",43,"315","Erithacus rubecula",1
"23",44,"315","Erithacus rubecula",1
"24",45,"313","Erithacus rubecula",1
"25",46,"320","Erithacus rubecula",1
"26",47,"320","Erithacus rubecula",1
"27",48,"320","Turdus philomelos",1
"28",49,"320","Turdus merula",1
"29",50,"320","Erithacus rubecula",1
"30",51,"320","Erithacus rubecula",1
"31",52,"320","Erithacus rubecula",1
"32",53,"320","Erithacus rubecula",1
"33",54,"320","Turdus philomelos",1
"34",55,"321","Erithacus rubecula",1
"35",58,"322","Erithacus rubecula",1
"36",59,"324","Erithacus rubecula",1
"37",60,"325","Erithacus rubecula",1
"38",61,"325","Sylvia atricapilla",1
"39",62,"329","Erithacus rubecula",1
"40",63,"330","Erithacus rubecula",1
"41",64,"331","Phylloscopus collybita",1
"42",65,"331","Erithacus rubecula",1
"43",66,"331","Erithacus rubecula",1
"44",67,"331","Erithacus rubecula",1
"45",69,"334","Erithacus rubecula",1
"46",73,"336","Sylvia melanocephala",1
"47",74,"337","Chloris chloris",1
"48",75,"337","Sylvia melanocephala",1
"49",76,"337","Chloris chloris",1
"50",77,"337","Erithacus rubecula",1
"51",78,"337","Erithacus rubecula",1
"52",79,"337","Erithacus rubecula",1
"53",80,"338","Chloris chloris",1
"54",84,"303","Chloris chloris",1
"55",86,"304","Erithacus rubecula",1
"56",87,"304","Chloris chloris",1
"57",88,"304","Sylvia atricapilla",1
"58",89,"304","Sylvia atricapilla",1
"59",90,"304","Sylvia atricapilla",1
"60",91,"305","Erithacus rubecula",1
"61",92,"306","Cettia cetti",1
"62",93,"306","Chloris chloris",1
"63",94,"307","Chloris chloris",1
"64",95,"307","Chloris chloris",1
"65",96,"307","Chloris chloris",1
"66",97,"307","Chloris chloris",1
"67",98,"307","Chloris chloris",1
"68",99,"308","Erithacus rubecula",1
"69",100,"308","Erithacus rubecula",1
"70",101,"308","Erithacus rubecula",1
"71",102,"308","Erithacus rubecula",1
"72",103,"309","Erithacus rubecula",1
"73",104,"318","Sylvia melanocephala",1
"74",105,"318","Erithacus rubecula",1
"75",109,"332","Chloris chloris",1
"76",111,"332","Chloris chloris",1
"77",114,"337","Chloris chloris",1
"78",115,"337","Chloris chloris",1
"79",119,"330","Erithacus rubecula",1
"80",120,"330","Erithacus rubecula",1
"81",121,"330","Sylvia melanocephala",1
"82",122,"330","Sylvia melanocephala",1
"83",123,"330","Sylvia melanocephala",1
"84",124,"310","Erithacus rubecula",1
"85",125,"310","Erithacus rubecula",1
"86",126,"310","Erithacus rubecula",1
"87",127,"310","Erithacus rubecula",1
"88",128,"338","Erithacus rubecula",1
"89",129,"305","Erithacus rubecula",1
"90",130,"305","Erithacus rubecula",1
"91",131,"305","Erithacus rubecula",1
"92",132,"305","Erithacus rubecula",1
"93",133,"306","Turdus philomelos",1
"94",134,"306","Sylvia atricapilla",1
"95",135,"306","Erithacus rubecula",1
"96",136,"309","Chloris chloris",1
"97",137,"335","Erithacus rubecula",1
"98",138,"301","Erithacus rubecula",1
"99",139,"302","Erithacus rubecula",1
"100",140,"303","Erithacus rubecula",1
"101",141,"303","Erithacus rubecula",1
"102",142,"304","Sylvia atricapilla",1
"103",143,"307","Turdus philomelos",1
"104",144,"307","Sylvia melanocephala",1
"105",147,"312","Sylvia atricapilla",1
"106",148,"312","Erithacus rubecula",1
"107",149,"312","Erithacus rubecula",1
"108",150,"314","Sylvia melanocephala",1
"109",151,"314","Sylvia melanocephala",1
"110",152,"314","Erithacus rubecula",1
"111",153,"314","Sylvia melanocephala",1
"112",154,"314","Erithacus rubecula",1
"113",155,"315","Erithacus rubecula",1
"114",156,"315","Erithacus rubecula",1
"115",157,"315","Erithacus rubecula",1
"116",158,"315","Erithacus rubecula",1
"117",159,"315","Erithacus rubecula",1
"118",160,"315","Erithacus rubecula",1
"119",161,"315","Sylvia melanocephala",1
"120",162,"315","Erithacus rubecula",1
"121",163,"315","Erithacus rubecula",1
"122",165,"318","Sylvia atricapilla",1
"123",166,"318","Erithacus rubecula",1
"124",167,"319","Sylvia melanocephala",1
"125",168,"319","Sylvia melanocephala",1
"126",169,"319","Erithacus rubecula",1
"127",170,"319","Chloris chloris",1
"128",171,"320","Erithacus rubecula",1
"129",173,"320","Sylvia atricapilla",1
"130",177,"320","Sylvia atricapilla",1
"131",178,"321","Chloris chloris",1
"132",179,"322","Chloris chloris",1
"133",180,"322","Chloris chloris",1
"134",181,"325","Sylvia melanocephala",1
"135",183,"326","Sylvia melanocephala",1
"136",184,"326","Erithacus rubecula",1
"137",185,"327","Turdus merula",1
"138",187,"332","Sylvia atricapilla",1
"139",189,"334","Turdus philomelos",1
"140",190,"337","Sturnus unicolor",1
"141",191,"337","Sturnus unicolor",1
"142",192,"338","Erithacus rubecula",1
"143",193,"338","Erithacus rubecula",1
"144",195,"301","Sylvia melanocephala",1
"145",196,"301","Sylvia melanocephala",1
"146",197,"301","Erithacus rubecula",1
"147",198,"301","Sylvia melanocephala",1
"148",199,"304","Erithacus rubecula",1
"149",200,"304","Chloris chloris",1
"150",201,"304","Sylvia atricapilla",1
"151",202,"304","Erithacus rubecula",1
"152",205,"318","Sylvia melanocephala",1
"153",206,"318","Sylvia melanocephala",1
"154",207,"318","Sylvia melanocephala",1
"155",208,"318","Erithacus rubecula",1
"156",209,"318","Erithacus rubecula",1
"157",210,"318","Erithacus rubecula",1
"158",211,"318","Turdus philomelos",1
"159",212,"320","Erithacus rubecula",1
"160",213,"320","Erithacus rubecula",1
"161",214,"320","Erithacus rubecula",1
"162",215,"320","Chloris chloris",1
"163",216,"320","Erithacus rubecula",1
"164",219,"323","Sylvia melanocephala",1
"165",220,"323","Erithacus rubecula",1
"166",223,"325","Erithacus rubecula",1
"167",224,"326","Chloris chloris",1
"168",225,"326","Erithacus rubecula",1
"169",227,"326","Erithacus rubecula",1
"170",228,"326","Sylvia atricapilla",1
"171",229,"329","Turdus philomelos",1
"172",230,"329","Sylvia melanocephala",1
"173",231,"329","Erithacus rubecula",1
"174",232,"329","Sylvia melanocephala",1
"175",241,"330","Erithacus rubecula",1
"176",242,"330","Sylvia melanocephala",1
"177",243,"331","Turdus philomelos",1
"178",249,"333","Sylvia atricapilla",1
"179",251,"337","Chloris chloris",1
"180",252,"340","Sylvia melanocephala",1
"181",253,"340","Sylvia melanocephala",1
"182",254,"340","Erithacus rubecula",1
"183",255,"340","Erithacus rubecula",1
"184",256,"340","Erithacus rubecula",1
"185",257,"340","Erithacus rubecula",1
"186",258,"303","Erithacus rubecula",1
"187",259,"303","Erithacus rubecula",1
"188",260,"303","Erithacus rubecula",1
"189",261,"305","Erithacus rubecula",1
"190",262,"305","Erithacus rubecula",1
"191",263,"305","Erithacus rubecula",1
"192",264,"305","Sylvia melanocephala",1
"193",267,"306","Sylvia undata",1
"194",268,"306","Erithacus rubecula",1
"195",269,"306","Erithacus rubecula",1
"196",270,"306","Erithacus rubecula",1
"197",271,"306","Sylvia melanocephala",1
"198",272,"306","Erithacus rubecula",1
"199",273,"307","Erithacus rubecula",1
"200",274,"307","Sylvia melanocephala",1
"201",275,"307","Sylvia melanocephala",1
"202",277,"308","Erithacus rubecula",1
"203",278,"308","Erithacus rubecula",1
"204",279,"308","Erithacus rubecula",1
"205",280,"308","Erithacus rubecula",1
"206",281,"308","Erithacus rubecula",1
"207",283,"308","Sylvia melanocephala",1
"208",286,"309","Erithacus rubecula",1
"209",287,"309","Erithacus rubecula",1
"210",288,"309","Erithacus rubecula",1
"211",290,"310","Erithacus rubecula",1
"212",291,"310","Erithacus rubecula",1
"213",292,"310","Erithacus rubecula",1
"214",293,"310","Erithacus rubecula",1
"215",294,"310","Sylvia melanocephala",1
"216",295,"310","Erithacus rubecula",1
"217",296,"311","Erithacus rubecula",1
"218",297,"311","Erithacus rubecula",1
"219",298,"311","Erithacus rubecula",1
"220",299,"311","Erithacus rubecula",1
"221",300,"311","Erithacus rubecula",1
"222",301,"311","Turdus philomelos",1
"223",302,"311","Erithacus rubecula",1
"224",303,"311","Erithacus rubecula",1
